Date,Age,Tm,Opp,Result,Game Type,Seasontype,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Resultdifference,season
2020/12/23,35,PHO,DAL,W,Home,regular,1,27.75,3,9,0.333,0,2,0,2,2,1,1,3,4,5,2,0,3,3,8,5.8,-10,0.405,0.333,4.4,10.8,8,26.4,3.4,0,23.3,20.5,85,101,-4.4,4,2020-2021
2020/12/26,35,PHO,SAC,L,@,regular,1,32.78,8,19,0.421,2,6,0.333,4,5,0.8,1,4,5,12,2,1,0,4,22,22.9,-1,0.519,0.474,2.9,13,7.6,60,2.9,2.3,0,27.1,127,102,14.8,-3,2020-2021
2020/12/27,35,PHO,SAC,W,@,regular,1,27.23,4,10,0.4,0,2,0,0,0,0,1,3,4,12,0,0,2,4,8,9,-5,0.4,0.4,4,13.6,8.5,54.3,0,0,16.7,19.6,111,106,-2.8,16,2020-2021
2020/12/29,35,PHO,NOP,W,Home,regular,1,23.18,2,4,0.5,1,2,0.5,4,4,1,1,1,2,9,0,0,2,1,9,11.9,19,0.781,0.625,4.5,5.4,4.9,56.7,0,0,25.8,15.7,156,101,8.7,25,2020-2021
2020/12/31,35,PHO,UTA,W,@,regular,1,29.83,4,13,0.308,2,4,0.5,1,1,1,1,3,4,8,0,0,3,2,11,6.9,12,0.409,0.385,3.9,10.5,7.4,37.2,0,0,18.2,25.6,94,106,-5.1,11,2020-2021
2021/1/1,35,PHO,DEN,W,@,regular,1,32.45,6,12,0.5,1,2,0.5,8,8,1,1,4,5,6,0,1,2,2,21,19,-4,0.677,0.542,3.9,16,9.9,31.6,0,2.6,11.4,25.3,138,112,6.8,3,2020-2021
2021/1/3,35,PHO,LAC,L,Home,regular,1,35.77,6,12,0.5,1,3,0.333,2,2,1,0,9,9,6,1,1,2,3,15,14.4,-8,0.582,0.542,0,29.5,15.7,27.8,1.5,2.5,13.4,19.9,115,117,2.1,-5,2020-2021
2021/1/6,35,PHO,TOR,W,Home,regular,1,31.6,4,12,0.333,0,0,0,4,4,1,1,3,4,8,2,0,0,2,12,13.6,1,0.436,0.333,3.8,10.6,7.3,35.8,3.2,0,0,20.2,127,119,-0.8,8,2020-2021
2021/1/8,35,PHO,DET,L,@,regular,1,37.85,5,11,0.455,1,4,0.25,0,0,0,0,7,7,9,0,0,2,5,11,9.7,-19,0.5,0.5,0,19.6,10.2,37.1,0,0,15.4,15.5,113,109,-3.3,-5,2020-2021
2021/1/9,35,PHO,IND,W,@,regular,1,33.1,6,10,0.6,0,2,0,3,3,1,0,2,2,10,0,0,1,4,15,15.4,3,0.663,0.6,0,5.9,3.2,38.9,0,0,8.1,17.3,144,125,-0.1,8,2020-2021
2021/1/11,35,PHO,WAS,L,@,regular,1,36.2,5,10,0.5,0,1,0,4,4,1,0,5,5,11,1,0,1,3,14,17,-10,0.595,0.5,0,13.8,7,45.1,1.4,0,7.8,15.9,132,132,1.9,-21,2020-2021
2021/1/18,35,PHO,MEM,L,@,regular,1,31.28,7,13,0.538,2,5,0.4,0,0,0,0,3,3,7,2,0,6,4,16,9.9,5,0.615,0.615,0,11.2,5.5,36.7,3.2,0,31.6,25.8,93,110,0,-4,2020-2021
2021/1/20,35,PHO,HOU,W,@,regular,1,30.88,4,9,0.444,1,3,0.333,4,4,1,0,4,4,4,1,1,4,1,13,9.6,4,0.604,0.5,0,14.1,7.4,17.4,1.5,2.7,27.1,20.1,97,100,-1.6,6,2020-2021
2021/1/22,35,PHO,DEN,L,Home,regular,1,38.63,5,15,0.333,1,5,0.2,0,0,0,0,4,4,15,1,0,4,5,11,9.2,-9,0.367,0.367,0,11.9,6.2,51.3,1.3,0,21.1,22.4,99,124,-5.8,-4,2020-2021
2021/1/23,35,PHO,DEN,L,Home,regular,1,42,9,20,0.45,1,6,0.167,2,2,1,1,8,9,13,2,0,2,2,21,22,13,0.503,0.475,2.3,20.1,10.8,62.8,2.5,0,8.7,26.6,113,105,7.9,-8,2020-2021
2021/1/27,35,PHO,OKC,L,Home,regular,1,34.63,12,21,0.571,3,8,0.375,5,5,1,1,4,5,5,1,0,4,4,32,22.9,3,0.69,0.643,2.7,12.3,7.1,35.8,1.4,0,14.7,33.3,122,104,9.6,-5,2020-2021
2021/1/28,35,PHO,GSW,W,Home,regular,1,27.13,6,13,0.462,1,2,0.5,0,0,0,1,2,3,4,2,0,4,1,13,8,27,0.5,0.5,3.9,5.9,5.1,23.3,3.5,0,23.5,26.8,83,91,-4.2,21,2020-2021
